loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_Timestamp_since1970(s),IP_en0(txt),IP_pdp_ip0(txt),deviceID(txt),deviceOrientationTimeStamp_since1970(s),deviceOrientation(Z),batteryTimeStamp_since1970(s),batteryState(R),batteryLevel(Z),label(N)
2024-11-19T10:42:56.921-05:00,1,1732030975.9998,32.47064282574712,-84.99456375987391,75.18161,0.3725907,1.702335,-1,-1,16.31653278267943,37.56501434938384,-9999,1732030976.905517,3.450039863586426,15.29107093811035,-38.23234939575195,334.2839965820312,339.3098754882812,11.99096775054932,808414.8392951251,0.010955810546875,-0.1870269775390625,-0.941558837890625,808414.8392951251,-0.147509828209877,0.1504017561674118,-0.005216866265982389,808414.820174125,-4.555465698242188,10.21220397949219,-32.74119567871094,808414.809483125,0.8220332345424933,0.03126979253202778,0.1583402207224758,-0.143711730837822,0.1161714345216751,-0.05309809371829033,0.005045676603913307,-0.015080526471138,0.003471851348876953,XArbitraryCorrectedZVertical,0.06626481323222062,0.04588211594984462,0.3993748049453554,0.9132379645377456,0.03087358735501766,-0.157679408788681,-0.9870076179504395,3.369090557098389,15.0295295715332,-38.47216796875,-1,2,808403.3245073751,unknown,2,2024-11-19T10:42:45.543-05:00,2024-11-19T10:15:12.891-05:00,29,2.09174,0,0,19.98,0,0,2024-11-19T10:39:57.640-05:00,808411.12255,0,3.110008,100.2639,1732030976.921402,192.168.1.64,192.0.0.2,my_iOS_device,0,1,1732030976.907822,1,0.85,0
2024-11-19T10:42:56.939-05:00,2,1732030975.9998,32.47064282574712,-84.99456375987391,75.18161,0.3725907,1.702335,-1,-1,16.31653278267943,37.56501434938384,-9999,1732030976.925256,3.675988674163818,15.38801002502441,-38.20886611938477,334.2828063964844,339.3086853027344,11.99097442626953,808414.8728331251,0.005035400390625,-0.1931610107421875,-0.95477294921875,808414.8728331251,-0.3568832874298096,0.2282374352216721,0.01207876671105623,808414.8503761251,-4.372711181640625,10.348876953125,-32.41024780273438,808414.809483125,0.8220332345424933,0.03126979253202778,0.1583402207224758,-0.143711730837822,0.1161714345216751,-0.05309809371829033,0.005045676603913307,-0.015080526471138,0.003471851348876953,XArbitraryCorrectedZVertical,0.06626481323222062,0.04588211594984462,0.3993748049453554,0.9132379645377456,0.03087358735501766,-0.157679408788681,-0.9870076179504395,3.369090557098389,15.0295295715332,-38.47216796875,-1,2,808403.3245073751,unknown,2,2024-11-19T10:42:45.543-05:00,2024-11-19T10:15:12.891-05:00,29,2.09174,0,0,19.98,0,0,2024-11-19T10:39:57.640-05:00,808411.12255,0,3.110008,100.2639,1732030976.921402,192.168.1.64,192.0.0.2,my_iOS_device,0,1,1732030976.907822,1,0.85,0
2024-11-19T10:42:56.970-05:00,3,1732030975.9998,32.47064282574712,-84.99456375987391,75.18161,0.3725907,1.702335,-1,-1,16.31653278267943,37.56501434938384,-9999,1732030976.965075,3.715056896209717,16.1446418762207,-37.88852691650391,334.24267578125,339.2685546875,11.99098873138428,808414.906371125,0.0161285400390625,-0.1703338623046875,-0.975738525390625,808414.906371125,-0.4355826377868652,-0.3549096286296844,-0.07735763490200043,808414.880577125,-4.313507080078125,11.0352783203125,-32.28921508789062,808414.8691071251,0.8215919192989222,0.04192945393017319,0.147420261026818,-0.3333694636821747,0.2698468863964081,0.009929414838552475,-0.03801394253969193,-0.04483973979949951,0.03514367341995239,XArbitraryCorrectedZVertical,0.05915298199564342,0.0485691720317695,0.3995826952364639,0.9134963427093611,0.04146250709891319,-0.146886870265007,-0.9882839322090149,3.65894079208374,15.60166549682617,-38.18964004516602,-1,2,808403.3245073751,unknown,2,2024-11-19T10:42:45.543-05:00,2024-11-19T10:15:12.891-05:00,29,2.09174,0,0,19.98,0,0,2024-11-19T10:39:57.640-05:00,808411.12255,0,3.110008,100.2639,1732030976.921402,192.168.1.64,192.0.0.2,my_iOS_device,0,1,1732030976.907822,1,0.85,0
2024-11-19T10:42:57.005-05:00,4,1732030975.9998,32.47064282574712,-84.99456375987391,75.18161,0.3725907,1.702335,-1,-1,16.31653278267943,37.56501434938384,-9999,1732030976.984882,3.268359661102295,16.51350212097168,-37.83198547363281,334.3245239257812,339.3504028320312,11.99099636077881,808414.9399101251,-0.0272369384765625,-0.1551971435546875,-1.034835815429688,808414.906371125,-0.4355826377868652,-0.3549096286296844,-0.07735763490200043,808414.9409771251,-4.922134399414062,11.79118347167969,-32.18185424804688,808414.9287301251,0.8193390017963238,0.03193015506480831,0.1233422662392213,-0.2999548614025116,-0.3668643534183502,-0.1543378531932831,-0.04869567230343819,-0.03044306486845016,-0.0331425666809082,XArbitraryCorrectedZVertical,0.05017831509803421,0.03916084414070831,0.3984008267561293,0.9150002119090055,0.03168219700455666,-0.1230297610163689,-0.9918971061706543,3.168917179107666,16.67464828491211,-37.97579956054688,-1,2,808403.3245073751,unknown,2,2024-11-19T10:42:45.543-05:00,2024-11-19T10:15:12.891-05:00,29,2.09174,0,0,19.98,0,0,2024-11-19T10:39:57.640-05:00,808412.190712,0,3.170784,100.2632,1732030976.921402,192.168.1.64,192.0.0.2,my_iOS_device,0,1,1732030976.907822,1,0.85,0
2024-11-19T10:42:57.049-05:00,5,1732030976.999785,32.47053302959929,-84.99456451063364,75.13891,0.5037442,2.04143,-1,-1,14.90584682032797,51.22600811321655,-9999,1732030977.044505,3.046811103820801,16.86662101745605,-37.74775314331055,334.6630249023438,339.6889038085938,11.99101638793945,808414.9734481251,-0.0386810302734375,-0.1587677001953125,-1.047607421875,808414.9734481251,0.0860414057970047,0.1870444566011429,-0.006613161414861679,808414.971176125,-4.936508178710938,11.89382934570312,-31.84854125976562,808414.9287301251,0.8193390017963238,0.03193015506480831,0.1233422662392213,-0.2999548614025116,-0.3668643534183502,-0.1543378531932831,-0.04869567230343819,-0.03044306486845016,-0.0331425666809082,XArbitraryCorrectedZVertical,0.05017831509803421,0.03916084414070831,0.3984008267561293,0.9150002119090055,0.03168219700455666,-0.1230297610163689,-0.9918971061706543,3.168917179107666,16.67464828491211,-37.97579956054688,-1,2,808403.3245073751,unknown,2,2024-11-19T10:42:45.543-05:00,2024-11-19T10:15:12.891-05:00,29,2.09174,0,0,19.98,0,0,2024-11-19T10:39:57.640-05:00,808412.190712,0,3.170784,100.2632,1732030976.921402,192.168.1.64,192.0.0.2,my_iOS_device,0,1,1732030976.907822,1,0.85,0
2024-11-19T10:42:57.069-05:00,6,1732030976.999785,32.47053302959929,-84.99456451063364,75.13891,0.5037442,2.04143,-1,-1,14.90584682032797,51.22600811321655,-9999,1732030977.064413,3.148684501647949,16.71756553649902,-37.78682327270508,334.6385803222656,339.6644592285156,11.99102210998535,808415.006986125,-0.05322265625,-0.17999267578125,-0.967041015625,808415.006986125,0.09212007373571396,-0.03868028521537781,-0.01469878479838371,808415.001376125,-4.6815185546875,11.73699951171875,-31.83702087402344,808414.9883541251,0.8149869552397724,0.03224089353826051,0.1207768468257836,0.1320161819458008,0.1226266622543335,0.03053339384496212,-0.06589017808437347,-0.04850758612155914,-0.01231718063354492,XArbitraryCorrectedZVertical,0.04902599048074043,0.03868768597314195,0.3964287041560533,0.9159387909472625,0.03200048580765724,-0.1204834282398224,-0.9921994209289551,3.017464637756348,16.84552383422852,-37.79502487182617,-1,2,808403.3245073751,unknown,2,2024-11-19T10:42:45.543-05:00,2024-11-19T10:15:12.891-05:00,29,2.09174,0,0,19.98,0,0,2024-11-19T10:39:57.640-05:00,808412.190712,0,3.170784,100.2632,1732030976.921402,192.168.1.64,192.0.0.2,my_iOS_device,0,1,1732030976.907822,1,0.85,0
2024-11-19T10:42:57.104-05:00,7,1732030976.999785,32.47053302959929,-84.99456451063364,75.13891,0.5037442,2.04143,-1,-1,14.90584682032797,51.22600811321655,-9999,1732030977.084515,3.17686128616333,16.56419372558594,-37.78916168212891,334.6672058105469,339.6930847167969,11.99102783203125,808415.0405241251,-0.0819854736328125,-0.1911163330078125,-0.9344024658203125,808415.0405241251,-0.09985256195068359,-0.1164451166987419,-0.1780688017606735,808415.031571125,-4.917556762695312,11.65074157714844,-31.90840148925781,808414.9883541251,0.8149869552397724,0.03224089353826051,0.1207768468257836,0.1320161819458008,0.1226266622543335,0.03053339384496212,-0.06589017808437347,-0.04850758612155914,-0.01231718063354492,XArbitraryCorrectedZVertical,0.04902599048074043,0.03868768597314195,0.3964287041560533,0.9159387909472625,0.03200048580765724,-0.1204834282398224,-0.9921994209289551,3.017464637756348,16.84552383422852,-37.79502487182617,-1,2,808403.3245073751,unknown,2,2024-11-19T10:42:45.543-05:00,2024-11-19T10:15:12.891-05:00,29,2.09174,0,0,19.98,0,0,2024-11-19T10:39:57.640-05:00,808412.190712,0,3.170784,100.2632,1732030976.921402,192.168.1.64,192.0.0.2,my_iOS_device,0,1,1732030976.907822,1,0.85,0
2024-11-19T10:42:57.139-05:00,8,1732030976.999785,32.47053302959929,-84.99456451063364,75.13891,0.5037442,2.04143,-1,-1,14.90584682032797,51.22600811321655,-9999,1732030977.12404,2.892756938934326,16.74872589111328,-38.05129241943359,335.015380859375,340.041259765625,11.99104118347168,808415.0740631251,-0.079376220703125,-0.20440673828125,-0.960235595703125,808415.0740631251,-0.1655301004648209,-0.0925762727856636,-0.2184204906225204,808415.0617711251,-5.187255859375,12.02334594726562,-31.85682678222656,808415.047977125,0.810596976379594,0.02936604021386066,0.1219509907219599,-0.1310028284788132,-0.09475181251764297,-0.1941495537757874,-0.1153100654482841,-0.06917740404605865,0.05118149518966675,XArbitraryCorrectedZVertical,0.05021635189048974,0.03749264713499632,0.3943401471174551,0.916825129889874,0.02914375439286232,-0.1216489374637604,-0.9921452403068542,2.912213802337646,16.64042091369629,-37.84322357177734,-1,2,808403.3245073751,unknown,2,2024-11-19T10:42:45.543-05:00,2024-11-19T10:15:12.891-05:00,29,2.09174,0,0,19.98,0,0,2024-11-19T10:39:57.640-05:00,808412.190712,0,3.170784,100.2632,1732030976.921402,192.168.1.64,192.0.0.2,my_iOS_device,0,1,1732030976.907822,1,0.85,0
2024-11-19T10:42:57.174-05:00,9,1732030976.999785,32.47053302959929,-84.99456451063364,75.13891,0.5037442,2.04143,-1,-1,14.90584682032797,51.22600811321655,-9999,1732030977.163797,2.64984130859375,17.03718185424805,-37.86121368408203,335.4893798828125,340.5152587890625,11.99105548858643,808415.107601125,-0.04888916015625,-0.203338623046875,-1.009445190429688,808415.107601125,-0.06287803500890732,-0.1359804719686508,-0.1871810704469681,808415.0919701251,-5.257583618164062,12.10807800292969,-31.96369934082031,808415.047977125,0.810596976379594,0.02936604021386066,0.1219509907219599,-0.1310028284788132,-0.09475181251764297,-0.1941495537757874,-0.1153100654482841,-0.06917740404605865,0.05118149518966675,XArbitraryCorrectedZVertical,0.05021635189048974,0.03749264713499632,0.3943401471174551,0.916825129889874,0.02914375439286232,-0.1216489374637604,-0.9921452403068542,2.912213802337646,16.64042091369629,-37.84322357177734,-1,2,808403.3245073751,unknown,2,2024-11-19T10:42:45.543-05:00,2024-11-19T10:15:12.891-05:00,29,2.09174,0,0,19.98,0,0,2024-11-19T10:39:57.640-05:00,808412.190712,0,3.170784,100.2632,1732030976.921402,192.168.1.64,192.0.0.2,my_iOS_device,0,1,1732030976.907822,1,0.85,0
2024-11-19T10:42:57.204-05:00,10,1732030976.999785,32.47053302959929,-84.99456451063364,75.13891,0.5037442,2.04143,-1,-1,14.90584682032797,51.22600811321655,-9999,1732030977.183693,2.581399440765381,17.17044067382812,-37.73417663574219,335.7046203613281,340.7304992675781,11.99106216430664,808415.1411391251,-0.069976806640625,-0.20281982421875,-0.98199462890625,808415.1411391251,0.09837397187948227,-0.2346804141998291,-0.2450872510671616,808415.122167125,-5.531051635742188,12.21269226074219,-31.98550415039062,808415.107601125,0.7984747623162127,0.02586087322314673,0.1130209253848625,-0.06288977712392807,-0.1339340358972549,-0.1859939694404602,-0.07444477081298828,-0.09119895100593567,-0.01263272762298584,XArbitraryCorrectedZVertical,0.04701619050273032,0.03384719339359234,0.3887357252846275,0.9195261790720678,0.02569301426410675,-0.1127804592251778,-0.9932876825332642,2.507381439208984,17.10565185546875,-37.80703735351562,-1,2,808403.3245073751,unknown,2,2024-11-19T10:42:45.543-05:00,2024-11-19T10:15:12.891-05:00,29,2.09174,0,0,19.98,0,0,2024-11-19T10:39:57.640-05:00,808412.190712,0,3.170784,100.2632,1732030976.921402,192.168.1.64,192.0.0.2,my_iOS_device,0,1,1732030976.907822,1,0.85,0
